# bin_centers	frequency
0.180662 0.044027
0.183514 0.000000
0.186366 0.000000
0.189218 0.000000
0.192070 0.000000
0.194922 0.000000
0.197774 0.000000
0.200626 0.044027
0.203478 0.000000
0.206330 0.000000
0.209182 0.000000
0.212034 0.044027
0.214886 0.000000
0.217738 0.176107
0.220590 0.000000
0.223442 0.044027
0.226294 0.264160
0.229146 0.088053
0.231998 0.132080
0.234850 0.088053
0.237702 0.220134
0.240554 0.220134
0.243406 0.264160
0.246258 0.220134
0.249110 0.264160
0.251962 0.440267
0.254814 0.528321
0.257666 0.484294
0.260518 0.528321
0.263370 0.704428
0.266222 1.100668
0.269074 1.056641
0.271926 1.320802
0.274778 1.849122
0.277630 1.496909
0.280482 1.628989
0.283334 1.717042
0.286186 2.773684
0.289038 3.125897
0.291890 3.169924
0.294742 2.773684
0.297594 4.094485
0.300446 4.578779
0.303298 5.371260
0.306150 5.679447
0.309002 5.811528
0.311854 5.987634
0.314706 5.899581
0.317558 7.044276
0.320410 7.880784
0.323263 7.880784
0.326115 8.277024
0.328967 9.597826
0.331819 10.258227
0.334671 10.258227
0.337523 9.025478
0.340375 10.742521
0.343227 10.786547
0.346079 12.415536
0.348931 11.975269
0.351783 10.434334
0.354635 12.063322
0.357487 10.654467
0.360339 10.698494
0.363191 11.050708
0.366043 11.579028
0.368895 9.817959
0.371747 8.497158
0.374599 9.597826
0.377451 7.352463
0.380303 7.924810
0.383155 7.660650
0.386007 7.220383
0.388859 7.088303
0.391711 5.503340
0.394563 5.943608
0.397415 4.138512
0.400267 3.390058
0.403119 3.302004
0.405971 2.289390
0.408823 2.773684
0.411675 2.069256
0.414527 1.673016
0.417379 1.364828
0.420231 1.232748
0.423083 0.880534
0.425935 0.748454
0.428787 0.792481
0.431639 0.660401
0.434491 0.704428
0.437343 0.308187
0.440195 0.176107
0.443047 0.088053
0.445899 0.132080
0.448751 0.220134
0.451603 0.088053
0.454455 0.000000
0.457307 0.044027
0.460159 0.044027
0.463011 0.044027
